sku,size_code,size,quantity,promotion_code,list_unit_price_ex_gst,discount_ex_gst,unit_price_ex_gst,loaded_landed_cost,product_gross_margin_pct,checkout_route,configuration
BC-201,100ML,100 ml,500,PACK7,18.02,630.70,16.76,10.89,35.02,online checkout,standard
BC-201,100ML,100 ml,500,PACK7,27.02,945.70,25.13,16.33,35.01,online checkout,premium
BC-201,250ML,250 ml,500,PACK7,25.02,875.70,23.27,15.12,35.02,online checkout,standard
BC-201,250ML,250 ml,500,PACK7,37.52,1313.20,34.89,22.68,35.00,online checkout,premium
BC-201,500ML,500 ml,500,PACK7,32.01,1120.35,29.77,19.35,35.00,online checkout,standard
BC-201,500ML,500 ml,500,PACK7,48.03,1681.05,44.67,29.03,35.01,online checkout,premium
BC-201,1L,1 litre,500,PACK7,41.28,1444.80,38.39,24.95,35.01,online checkout,standard
BC-201,1L,1 litre,500,PACK7,61.91,2166.85,57.58,37.42,35.01,online checkout,premium
BC-201,100ML,100 ml,1000,PACK7,13.90,973.00,12.93,8.40,35.02,online checkout,standard
BC-201,100ML,100 ml,1000,PACK7,20.85,1459.50,19.39,12.60,35.02,online checkout,premium
BC-201,250ML,250 ml,1000,PACK7,19.31,1351.70,17.96,11.67,35.02,online checkout,standard
BC-201,250ML,250 ml,1000,PACK7,28.95,2026.50,26.92,17.50,35.00,online checkout,premium
BC-201,500ML,500 ml,1000,PACK7,24.72,1730.40,22.99,14.94,35.01,online checkout,standard
BC-201,500ML,500 ml,1000,PACK7,37.08,2595.60,34.48,22.41,35.01,online checkout,premium
BC-201,1L,1 litre,1000,PACK7,31.87,2230.90,29.64,19.26,35.02,online checkout,standard
BC-201,1L,1 litre,1000,PACK7,47.78,3344.60,44.44,28.88,35.01,payment confirmation,premium
BC-201,100ML,100 ml,2500,PACK7,10.56,1848.00,9.82,6.38,35.04,online checkout,standard
BC-201,100ML,100 ml,2500,PACK7,15.84,2772.00,14.73,9.57,35.04,online checkout,premium
BC-201,250ML,250 ml,2500,PACK7,14.66,2565.50,13.63,8.86,35.01,online checkout,standard
BC-201,250ML,250 ml,2500,PACK7,21.99,3848.25,20.45,13.29,35.01,payment confirmation,premium
BC-201,500ML,500 ml,2500,PACK7,18.76,3283.00,17.45,11.34,35.00,payment confirmation,standard
BC-201,500ML,500 ml,2500,PACK7,28.14,4924.50,26.17,17.01,35.00,payment confirmation,premium
BC-201,1L,1 litre,2500,PACK7,24.19,4233.25,22.50,14.62,35.01,payment confirmation,standard
